pub_year,p,p_china,p_us,p_eu27,p_europe,p_austria,p_belgium,p_bulgaria,p_cyprus,p_czechia,p_germany,p_denmark,p_estonia,p_spain,p_finland,p_france,p_greece,p_croatia,p_hungary,p_ireland,p_italy,p_lithuania,p_luxembourg,p_latvia,p_malta,p_netherlands,p_poland,p_portugal,p_romania,p_sweden,p_slovenia,p_slovakia,p_uk,p_switzerland,pp_china,pp_us,pp_eu27,pp_europe,pp_austria,pp_belgium,pp_bulgaria,pp_cyprus,pp_czechia,pp_germany,pp_denmark,pp_estonia,pp_spain,pp_finland,pp_france,pp_greece,pp_croatia,pp_hungary,pp_ireland,pp_italy,pp_lithuania,pp_luxembourg,pp_latvia,pp_malta,pp_netherlands,pp_poland,pp_portugal,pp_romania,pp_sweden,pp_slovenia,pp_slovakia,pp_uk,pp_switzerland
2024,2376179.9304837147,664797.3887765668,357890.0196355438,418695.80240812775,542550.1929821471,10078.00064094299,12828.835996778722,2537.7565031199856,1828.7538375369215,8898.185294999243,73178.09063877522,13641.560079367422,1131.9102155383475,46725.647418935485,9282.798598575051,42726.055253271006,11885.083439409926,3315.7019781818394,6097.201328614639,6811.88328812509,65177.2407693086,2280.0712118702686,780.8746642073164,984.926793311388,398.07626722414835,26050.82047741498,25636.9194500829,14580.475368347246,8312.301606644016,17692.039864623966,2893.5961783649545,2940.995244556529,85685.89217058798,17497.39968060398,0.2797756938554881,0.150615706767075,0.17620542831657307,0.22832874986520954,0.0042412615777339,0.005398932897378347,0.0010679984586029977,0.000769619259078855,0.0037447438979033272,0.030796527527222436,0.0057409625863603835,0.00047635711463480236,0.019664187387284107,0.0039066059263809065,0.017980984817329612,0.005001760719774492,0.001395391794891083,0.002565967858912706,0.002866737152660997,0.027429421456329102,0.0009595532655669382,0.0003286260666499086,0.0004145000892718121,0.0001675278299076925,0.010963319798813325,0.010789132220666487,0.006136099030757795,0.0034981785259636865,0.007445580882851085,0.001217751291155763,0.0012376988824907027,0.03606035514033866,0.007363667816621137
2023,2650783.8470234713,707494.9860002854,396492.6452467239,478812.34622643795,619478.7107487026,11582.543690948212,14606.459123045928,2903.806668339075,2119.152464310331,10772.383946587897,84254.29919304643,14076.188884502804,1441.4014932263858,53189.24120451071,10429.776414522214,47958.3762670016,13890.33894623302,4071.802024020277,6727.247787736111,7637.149290862358,75542.21179723594,2640.024586361901,884.463913401598,1283.4713250261707,493.4786318299978,29013.56147130215,29986.972565196535,17928.771808030717,8707.037453727919,19628.8798091279,3214.8438348410473,3828.4616314634154,95904.5966998797,19404.03726821726,0.2669002932075061,0.1495756229584468,0.18063047530793194,0.233696425849398,0.004369478750202168,0.005510241485531656,0.0010954520760339322,0.0007994437066944928,0.004063848494732627,0.03178467353634074,0.00531019867965046,0.0005437642510327335,0.020065476581289786,0.003934600863904338,0.01809214897731228,0.00524008736579193,0.0015360747080877407,0.002537833401727585,0.0028810909269113014,0.028498065537128293,0.0009959411022239133,0.00033366127320971507,0.00048418558399899824,0.0001861632861480268,0.010945276244942069,0.011312492566630241,0.006763573660735367,0.0032847029241953964,0.007404934140959436,0.001212789884188766,0.0014442752983282066,0.03617971220383346,0.00732011298846784
2022,2664636.6777375476,682422.9905674321,408695.61828957323,490888.5216837429,635955.1891943001,11978.405282282634,14856.227254872536,2745.640721501224,2136.4349124498767,11197.515153587465,88000.60583391019,14080.57849555662,1454.763029374953,54290.473455009036,10993.314332510188,49831.59085235839,13459.813719947935,4093.5044336888277,6735.669914109248,7923.892124779206,76570.62557492679,2719.919455798839,923.1215554974789,1199.5064108236834,488.73376156176107,30253.115982045718,30892.60811855663,17910.700182119283,9168.810703664007,20084.942774649615,3313.6715418708964,3584.336106289662,99562.82923030073,20350.034013013636,0.256103579249256,0.15337761493119684,0.18422343495644578,0.23866487859585722,0.0044953240276093065,0.005575329416949426,0.0010303996580248436,0.000801773438870417,0.004202267141010344,0.033025367611703264,0.005284239541246561,0.0005459517395107475,0.02037443750159036,0.004125633496062299,0.018701082691194023,0.005051275407413593,0.0015362336140942424,0.0025278004954237426,0.0029737232812944367,0.028735859644452657,0.0010207468352151597,0.00034643430498797683,0.0004501575846513317,0.00018341478432876946,0.01135356134470558,0.01159355358899679,0.006721629380755447,0.0034409234025289076,0.00753759150073062,0.0012435734933606117,0.00134515002973426,0.037364504535318546,0.007637076447619928
2021,2651719.3391918964,562101.1022340457,441323.10556617426,522189.1861132378,680462.9078403169,12622.091068850379,16104.193087606242,2651.264117757486,2182.490993199639,12179.98262056538,95052.24534257955,15085.856510485008,1577.9631976654716,59356.1139520492,11194.616120942312,53056.824291830344,14009.450570102297,3851.2345653739044,6639.588523507099,8640.495895476884,79832.17852167507,2583.8992971701005,929.3146731837961,1189.1644548883428,518.8309551168643,31855.67175418843,34616.43036691392,18371.81097084739,8381.39790374594,21747.08360144988,3598.188831986611,4360.803924080292,110581.03681971488,21469.00684877647,0.2119760918609676,0.16642904060150882,0.19692475685317942,0.2566119640880569,0.004759964933806654,0.006073113715161857,0.0009998283297075665,0.0008230475076841076,0.004593239729615274,0.035845514997656744,0.005689084922193303,0.0005950717235958883,0.022384010658585685,0.004221644408398755,0.020008461494269318,0.00528315737002983,0.001452353764764395,0.0025038805673644536,0.0032584503826525056,0.030105817513102158,0.0009744241251253748,0.0003504574030323292,0.00044845034589925236,0.00019565832154581507,0.012013213948915255,0.013054334165493989,0.0069282637492269995,0.003160740950171652,0.008201125692312987,0.0013569267225252988,0.0016445194103419836,0.04170163681553649,0.008096259106862751
2020,2475086.721865601,487676.55274658155,441239.09681866464,493983.7643754794,648859.5261168944,12068.790102119181,15384.766612645386,2200.359110276459,1932.522156861589,11586.573949332054,88386.43187609133,14380.2178438181,1367.3836509102384,56763.65225401489,10668.855563554214,52996.06394382197,12210.64376748407,3413.9988337195,5918.350719461711,8046.485030394527,77845.77635047153,2336.6127722812994,776.5507013971089,1017.5779560016056,468.8855183224346,30898.828300881964,31989.030737016103,16115.926967167356,7053.4440710305025,20993.517371408005,3321.2531988489095,3841.265016148198,109534.92335278621,20556.237335849102,0.19703412750685137,0.17827217645371227,0.19958240655225942,0.26215627936778535,0.004876107974520711,0.006215849520233817,0.0008890028340574404,0.0007807896748785219,0.0046812799919182845,0.03571043838394071,0.005809985450925528,0.0005524588851091128,0.022934005403749725,0.004310497676425877,0.02141180083737676,0.004933420578605132,0.0013793451371054153,0.0023911690314433686,0.0032509911508593423,0.03145173688774636,0.0009440528897993819,0.0003137468657307419,0.00041112820290781747,0.0001894420563854067,0.012483937644654292,0.012924408043732833,0.0065112574944525365,0.0028497765386232433,0.00848193204138888,0.0013418734662943483,0.0015519718893941775,0.04425498403151873,0.008305259429598815
2019,2189897.3451882005,429757.82875921356,399581.892799559,441093.5372599463,582214.3387026552,10845.340245278529,14007.525795135129,2274.70650900689,1630.0665882333856,10983.804326627998,82037.86922887719,13494.216160381746,1317.2379045424132,48721.37433828409,10083.345063496761,48692.313507251594,10433.051705352573,2893.578813928749,5225.216444430497,6918.32560699036,64228.91668863785,1979.805885764306,709.7753431361806,839.384513084888,401.84328410582435,28779.899277502063,28559.7896984583,14552.452676964347,5986.370283378207,19391.19977809147,2730.473733466393,3375.653859539095,99857.29077406214,18678.98684414619,0.19624565037420968,0.18246603827231855,0.2014220156160053,0.265863758400337,0.004952442300141917,0.006396430328532736,0.0010387274609036073,0.0007443575342995346,0.005015670871861826,0.0374619702650157,0.00616203138016136,0.0006015066904559443,0.022248245766103233,0.004604482984397698,0.02223497535820199,0.004764173867910668,0.0013213308013212252,0.0023860554267129087,0.003159200874046357,0.029329647268519794,0.0009040633297786663,0.00032411352280770143,0.000383298566450726,0.0001834986854469609,0.013142122547771164,0.013041611179269164,0.006645267052786762,0.0027336305496382693,0.008854844187422396,0.0012468501043968957,0.0015414667116503537,0.04559907385315378,0.008529617557274546
2018,2048932.3229078294,365942.7801349892,392935.6658022131,423487.88422634616,561308.7761004957,10542.4792784796,13997.514937679298,1868.7262897639907,1465.2338396804296,10636.529451906092,80404.83115409472,13231.31044314808,1101.506451783528,45532.92624620818,9849.504723727094,48743.118430659546,10097.425839351396,2772.495563377174,5015.984987798666,6441.6972807287975,59469.22610393598,1742.6783914788516,683.1784003426866,863.4702075015927,444.8189942066312,28219.29657448143,27392.123978247295,12933.539856484318,5001.942087309591,19146.03818076727,2707.6188171877925,3182.6677160163354,98407.85335743145,18269.238167574036,0.1786016922294661,0.1917758148519819,0.20668710210268698,0.2739518381475336,0.005145352611509293,0.0068316140953909735,0.0009120488114082306,0.000715120662258371,0.005191254651501036,0.03924230695916046,0.006457661043860299,0.000537600212299974,0.022222757548960033,0.004807140096139803,0.02378952095473982,0.0049281402447793905,0.0013531416008130855,0.0024480969584588417,0.0031439287714426748,0.029024495069479746,0.0008505299916425036,0.0003334314133778342,0.00042142446475545964,0.00021709794375997124,0.013772683586948746,0.013368974500520641,0.006312331408842795,0.002441243193533534,0.009344397551206259,0.0013214779165302835,0.0015533298393670305,0.04802884519766459,0.008916467353907751
2017,1931937.7757331163,313272.71782982553,388198.01002827,416499.5646962603,551987.7504358257,10059.301583723529,13815.921892489861,1671.2764417058838,1441.1496244865136,10534.103559275924,79166.51803429816,13176.772585112825,1209.3180459343841,44469.649497671424,9784.20300813795,49895.95618544532,9726.997485065785,2590.443099511441,4731.593267300057,6388.35981263164,57869.84314380363,1744.6290264004535,665.6008449363385,816.3793756957599,369.06888663084453,27591.2573836473,26537.725242155473,12343.352283665663,5146.037308354865,19127.567261127042,2386.363516344003,3240.1763007085087,97097.25579610695,18428.4829932689,0.16215466241450105,0.20093711863000335,0.21558642826278937,0.2857171475030358,0.005206845536164489,0.007151328612148031,0.0008650777797808117,0.0007459606839250491,0.0054526101676740215,0.04097777838846631,0.0068204953340759685,0.0006259611780071342,0.023018158274169278,0.005064450382945237,0.02582689608960682,0.005034839945284812,0.0013408522427842894,0.002449143718153422,0.0033067109577105485,0.02995429970400762,0.000903046178978728,0.0003445249910721175,0.00042257022247311603,0.0001910355971432844,0.014281649093577658,0.013736325038773648,0.006389104472571176,0.0026636661765165226,0.009900716007206115,0.0012352175863627104,0.0016771639032105744,0.050258997476904384,0.009538859493689338
2016,1838037.7511153403,275223.760664562,382157.0794802025,408292.3652741922,540207.537625713,10038.697055412362,13771.613428084496,1612.6312779471627,1213.9826440793918,10628.688998626241,78452.74403787336,12852.401154742922,1211.2112771402394,43206.55152299482,9574.629349364497,49829.348665138525,9424.498122800489,2448.1385337251277,4579.087418448674,6141.4098273974905,55778.35098225917,1659.9255586731178,612.65217557646,758.8919288587387,339.2406426436573,27326.74026078683,25980.094017027153,12072.256539722714,4523.712005940594,18691.633906595456,2656.8433952953674,2906.3905470376667,95432.86201683497,17470.59909587764,0.14973781713544967,0.20791579457402637,0.22213491808121796,0.2939044844415788,0.0054616381243098935,0.0074925628811093456,0.0008773656998984931,0.0006604775355363265,0.0057826282361048585,0.04268287960367921,0.006992457661407636,0.0006589697498896657,0.023506890158690504,0.005209158159866147,0.027110079014917708,0.005127477994987647,0.001331930496117162,0.002491291278250426,0.0033412860120369233,0.03034668409199555,0.0009030965537382776,0.0003333186030617142,0.0004128815789546407,0.00018456674376671675,0.014867344397145642,0.014134690107024278,0.0065680133786137655,0.002461163816246733,0.010169341677151724,0.0014454781430268053,0.001581246383690454,0.05192105655007648,0.009505027350649517
2015,1776943.0405244383,260168.45755992964,376091.99345821416,401837.90352661395,529609.5591606748,9792.773987367755,13576.154644532251,1540.1270294705262,1024.834286818794,10715.200705906887,76795.86507259957,12195.678826135998,1262.190258763684,42931.71611354986,9681.876785433364,49763.035429471485,8885.62367937839,2142.5331990095788,4640.0576815342565,5891.121246295474,54109.35560765285,1837.0821590946514,651.7712715189966,898.3043844448138,268.4589570243204,26344.03892916512,24692.2374693046,11708.912197400754,6421.931479313305,18363.917113246058,2584.3372233138293,3118.7677888671,92351.99973597456,17394.457291860013,0.14641350433109257,0.21165112492700736,0.2261400024437573,0.29804532114004534,0.005511023012013691,0.007640174352761162,0.000866728417482634,0.0005767400887066866,0.00603013178337132,0.043217966654651135,0.006863291927768616,0.0007103155419045775,0.024160434597205325,0.005448614032431733,0.028004856821288244,0.005000511258231401,0.001205741067748149,0.002611258535425431,0.0033153123718342695,0.030450810393834165,0.001033844145365776,0.00036679356437144777,0.0005055335843402682,0.00015107910096267844,0.01482548305059349,0.013895908257147654,0.006589357075815465,0.003614033389285212,0.010334555860510995,0.0014543725737832885,0.0017551309849226468,0.051972402958239024,0.009788978540767575
