pub_year,p_top_10,p_top_10_china,p_top_10_us,p_top_10_eu27,p_top_10_europe,p_top_10_austria,p_top_10_belgium,p_top_10_bulgaria,p_top_10_cyprus,p_top_10_czechia,p_top_10_germany,p_top_10_denmark,p_top_10_estonia,p_top_10_spain,p_top_10_finland,p_top_10_france,p_top_10_greece,p_top_10_croatia,p_top_10_hungary,p_top_10_ireland,p_top_10_italy,p_top_10_lithuania,p_top_10_luxembourg,p_top_10_latvia,p_top_10_malta,p_top_10_netherlands,p_top_10_poland,p_top_10_portugal,p_top_10_romania,p_top_10_sweden,p_top_10_slovenia,p_top_10_slovakia,p_top_10_uk,p_top_10_switzerland,pp_top_10_china,pp_top_10_us,pp_top_10_eu27,pp_top_10_europe,pp_top_10_austria,pp_top_10_belgium,pp_top_10_bulgaria,pp_top_10_cyprus,pp_top_10_czechia,pp_top_10_germany,pp_top_10_denmark,pp_top_10_estonia,pp_top_10_spain,pp_top_10_finland,pp_top_10_france,pp_top_10_greece,pp_top_10_croatia,pp_top_10_hungary,pp_top_10_ireland,pp_top_10_italy,pp_top_10_lithuania,pp_top_10_luxembourg,pp_top_10_latvia,pp_top_10_malta,pp_top_10_netherlands,pp_top_10_poland,pp_top_10_portugal,pp_top_10_romania,pp_top_10_sweden,pp_top_10_slovenia,pp_top_10_slovakia,pp_top_10_uk,pp_top_10_switzerland
2023,269893.64939222805,84736.66291024255,44330.69575187902,50086.596211127435,67293.61995455324,1264.8972987330305,1645.2720402563068,137.17728084894128,259.4364103167006,894.7312390809299,9142.19041525851,1630.5452378240661,137.60488703504384,5123.037223125231,1104.4697832461975,4775.231212971717,1452.7338619360273,290.5419962634569,576.3832536175181,871.8271677044457,8790.453042502302,177.1940658572326,100.24033943403684,69.13053033356046,32.15657826656233,3761.662060762362,2587.4957513398776,1617.7298408852146,871.2103260969837,2229.617110068269,293.99613661831137,249.63112074463504,12472.57238700673,2751.5692795703935,0.3139631595669648,0.16425245963255178,0.18557900982078368,0.24933383985170218,0.004686650840364142,0.006096001310002238,0.0005082642039108738,0.0009612542232872983,0.0033151252024483345,0.03387330689642293,0.0060414361045392564,0.0005098485545877626,0.018981688656482913,0.004092240724201354,0.017693010649657864,0.005382615949680292,0.0010765054936184187,0.0021355939827242035,0.0032302618815511527,0.032570062549813504,0.0006565329204901816,0.0003714068102742228,0.00025613989246962686,0.00011914536832924946,0.013937571592489217,0.00958709386888741,0.005993952968245718,0.0032279763827672762,0.00826109512057483,0.0010893036471230782,0.0009249240258404668,0.046212915402395145,0.010195013057056498
2022,271134.0172973805,80797.02941676274,47825.814817504775,51330.21681103882,69891.78551439282,1300.1844685974281,1700.6744364628696,101.86570694959593,211.12896484619424,831.9706326279854,9592.24199485225,1707.0074480304163,115.31634775126639,5127.6391281692095,1244.1552233108346,5071.3911724690115,1244.3787685113925,293.9054718913996,547.2389028491389,935.9841841615471,8687.774557032493,185.03555051080312,117.53057503613284,57.067606920232144,30.536097626603105,4292.484323587244,2558.0148515432147,1603.1987861013226,821.1250476680199,2420.3100482277446,284.48086944931833,247.575645855193,13525.423275447898,2973.3218711110667,0.29799665206946113,0.17639179065107607,0.18931677154600526,0.2577757900357273,0.004795357224288764,0.006272449519300138,0.00037570242186862657,0.0007786885871079299,0.0030684848803589184,0.035378231364939554,0.006295807014721307,0.00042531124976762736,0.018911825153039363,0.00458870943495903,0.018704370713124856,0.004589533917267765,0.0010839859742462464,0.002018333620782544,0.0034521090104859737,0.032042362827176055,0.0006824505178479898,0.00043347779156469696,0.0002104774881775172,0.0001126236314092268,0.01583159636837172,0.009434503560420372,0.00591293856109147,0.0030284840532105116,0.008926618918396884,0.0010492260332546136,0.0009131117088257184,0.04988464158893489,0.010966244297741215
2021,270096.64365722646,67147.63161305958,53702.19795822038,55350.9897865489,75821.74533246554,1456.6562365207403,1932.98341753858,115.40932715055129,236.9999136487454,864.8953744897436,10571.458505368339,1789.7287150192803,118.14520678265474,5790.716748176684,1245.832616733448,5551.692872161886,1291.4340328316152,277.29538921416145,495.7809403591796,1082.662697217803,9262.015134475789,188.07151787532925,115.54083594322307,60.83408671282339,29.916170725678292,4703.6264395694225,2701.9401760393375,1610.2739025957721,684.5684703157348,2603.383572976212,314.92044017321587,254.2070459329902,15199.64932588344,3190.0655221146903,0.24860594601936306,0.19882586185103662,0.20493031322815541,0.28072079795515414,0.005393092697476647,0.0071566362001583604,0.00042728900880758316,0.0008774633791803671,0.0032021700187706247,0.03913954043347661,0.00662625307292076,0.000437418270671257,0.02143942505085532,0.004612543865278482,0.02055446819697402,0.004781377566729577,0.001026652480606426,0.0018355686825503985,0.0040084270672825755,0.03429148548113764,0.0006963119397885097,0.00042777590413101667,0.00022523081327151386,0.00011076098658835697,0.017414605290462952,0.010003605152044424,0.005961843437933773,0.0025345315700572167,0.009638711306165311,0.001165954659447284,0.0009411706953885684,0.05627485451160574,0.011810829927095022
2020,251965.76996342742,57935.327231249634,55254.41967614688,51770.41594935011,71854.61665210071,1382.9312798942947,1877.4519230641113,99.05092320733614,181.145574489993,791.4895109705507,9874.18842920695,1755.8333337413223,116.85411776221356,5370.475736228603,1200.8472729839646,5681.469434797757,1020.284614014245,235.57138434756277,421.305895310583,980.8830776061798,8698.430217899771,140.35976643467342,94.81200164957953,40.23438097040045,34.0732181394095,4627.6678588699915,2239.3542507784327,1391.8994667135487,518.4939381499144,2486.4433405644463,302.12304116019203,206.74196039411484,15127.72182959434,3031.5051695807083,0.2299333248308248,0.21929335752299609,0.2054660676998488,0.2851761041292646,0.005488568070555876,0.007451218168787854,0.000393112616930916,0.0007189292994690752,0.0031412580807521377,0.03918861054277404,0.00696853915512484,0.00046376981198348815,0.021314306848141007,0.004765914327006666,0.02254857648172772,0.004049298498610895,0.0009349340760919855,0.0016720759148027733,0.003892921954234315,0.034522269509712926,0.0005570588673812578,0.0003762892144569534,0.00015968193209831808,0.00013522955179330585,0.018366256097174204,0.008887533616584002,0.005524160948193802,0.002057795145051541,0.009868179082124335,0.001199063829995816,0.0008205160582888828,0.060038797459631574,0.012031416688150649
2019,222917.89475163072,49230.95078963547,51413.27828029937,45952.33052292392,64631.510425191715,1192.6862817583562,1762.8800946148708,73.12980174036912,143.13256621086057,673.244791307933,9347.035030750345,1682.393967914907,99.3099110147043,4677.187579022569,1139.335320948743,5329.409991460581,879.1085257380621,165.99820299360383,365.1544323531079,804.6324819383942,6890.843441906204,111.39943543932831,93.8346738330228,25.43343408062705,29.221778964375332,4452.420722523341,1638.289305083714,1234.814387008163,405.25181251442496,2343.5628053271853,234.03840016753816,158.58134630860064,13997.523377772895,2904.5859261176192,0.22084790834978638,0.23063773474795596,0.2061401601433694,0.2899341504063747,0.005350338890860315,0.007908203585804656,0.0003280571163739386,0.000642086479285726,0.0030201469113013326,0.04193039343550488,0.007547146314966712,0.0004454999502186794,0.020981660463973824,0.005111008796391875,0.023907501896150915,0.003943642688342907,0.000744660733399419,0.0016380669338365741,0.003609546388525222,0.03091202458009843,0.0004997330320360626,0.00042093827387689505,0.00011409328133555322,0.00013108763204916084,0.01997336610182916,0.007349294711889564,0.005539323742420773,0.0018179420407946427,0.010513121021254582,0.0010498861046050053,0.0007113890362426391,0.06279228230361932,0.013029846389648677
2018,208354.84813441726,40906.8821641133,52301.38299383558,44247.9594183138,62599.34339732716,1230.475116119504,1733.5256540025252,68.65042005900169,140.4302269886934,648.3160619657032,9228.39658553972,1613.6027589161606,93.57843197168897,4432.24360157594,1066.9144138065226,5322.663501696936,857.7711402895043,176.35253135674526,329.26213599180534,743.2548235970776,6399.108269108159,103.43580332971794,89.75642147192721,20.378390295914034,25.469531683577102,4353.67260638819,1443.3824284425687,1132.044535256343,291.3899512416074,2312.7537085936465,225.41226435448277,165.7181042701564,13907.97033861004,2832.4222034808463,0.19633275889852483,0.2510207151987846,0.21236827371431186,0.3004458209532137,0.005905670672590637,0.008320063917515205,0.0003294879897141285,0.0006739954853274965,0.0031115957596890235,0.044291729557385424,0.0077444934608633005,0.0004491300913301433,0.02127257244677378,0.005120660370322736,0.025546146630881814,0.004116876319269159,0.0008464047414100672,0.0015802950540387062,0.0035672547591384914,0.030712547974788965,0.0004964405880442377,0.000430786335310144,9.780617287468731e-05,0.00012224112811210319,0.020895470613573042,0.00692752024426804,0.005433252671548204,0.0013985273385797156,0.011100071485265393,0.001081867143350853,0.0007953647623464257,0.06675136414218451,0.013594222687122444
2017,196291.8145357155,33281.166285101506,52783.74719494387,43234.93813666366,61742.54769559483,1147.5283889718194,1769.247591187999,64.84210359796742,123.02103068597039,627.9736953422845,9217.396857520707,1604.822950949085,94.53659025907486,4215.40881068742,1016.2405567723952,5533.724932498441,807.4833542708418,146.9176014643059,295.11147592625633,683.6770222129729,6117.36544311388,84.0504638008072,80.59953099078162,31.345520985901405,21.987304653225372,4231.779719566156,1345.0235950939125,1096.9456519912394,251.74559408632646,2289.6797036980397,196.7905613938739,139.69208494200123,14096.294876983686,2866.85730388738,0.16954943518057888,0.26890447428891545,0.22025848728805253,0.3145446886903209,0.005846032814389341,0.009013353895437563,0.00033033523966007934,0.0006267252201878575,0.0031991843206891544,0.04695762214701822,0.008175699810738088,0.0004816124935350976,0.021475214443648753,0.005177192738148993,0.02819131783761454,0.004113688368415991,0.0007484652470700661,0.0015034324106905665,0.003482962464991515,0.031164648702153696,0.0004281913843407572,0.00041061075919758463,0.0001596883754936101,0.00011201335473530283,0.02155861531758462,0.006852163439801429,0.005588341289654995,0.0012825068364759606,0.011664672360963019,0.0010025408438927425,0.0007116551715231309,0.07181295312963165,0.014605078213109862
2016,187013.3162142028,27977.34695608324,52596.51118328132,42549.098886229454,60703.13907641171,1184.9632207904433,1704.0870323504016,59.39624941907375,99.51407718448688,614.6085541223459,9084.040523849842,1641.5312801504745,102.56450614278916,4060.942224829521,1072.3459629397069,5723.052482378045,761.9100842465907,117.92278224040474,283.9603075649268,693.6416402847857,5880.202362166145,86.906408948142,78.12923619636697,20.138848261221224,18.95508226171888,4204.38528210509,1266.3104155575197,1026.5479959222737,215.95304678495333,2197.919994151173,221.9535494401785,127.215735940864,13955.496469043823,2732.541838641621,0.1496008280182483,0.2812447383320978,0.22751908659538572,0.32459260284376257,0.006336250512948505,0.009112116007817117,0.0003176043857274955,0.0005321229482423844,0.0032864427334061107,0.048574297850774925,0.008777617088348321,0.0005484342410425631,0.021714722283081526,0.005734062069202894,0.030602379542978266,0.0040740953621393895,0.0006305582117229418,0.0015183961939891064,0.003709049464104989,0.031442693393186144,0.0004647070631515911,0.00041777365258246476,0.00010768670739015414,0.00010135685867421311,0.022481742836373414,0.006771231274820575,0.005489170593320093,0.0011547468980102108,0.0117527459468913,0.001186832862671424,0.0006802496127877474,0.0746230094816316,0.014611482721967245
2015,180833.9662883313,24592.51582711462,53074.37748336095,42441.354515296916,59962.225877535304,1132.4401767966076,1849.6124298599398,66.21913898937854,82.89145205890183,575.7694116005986,9298.892924547697,1611.2906590837556,85.94933852393252,4105.98420968068,1027.0238424055572,5826.641137105772,787.4823903276791,122.11701852320256,285.30329733815233,660.2983920632915,5654.235041523301,76.3732069801645,88.68450257436716,34.80273771332171,19.956563051021078,4031.837041671684,1195.8229645236058,975.7771665869304,254.22727529669194,2241.403822283171,222.8475884177694,127.47078576975117,13470.953869281488,2726.424431764409,0.13599500321694544,0.29349783435450577,0.23469791315435817,0.3315871852411197,0.006262320072054299,0.010228235700536586,0.0003661875053041485,0.0004583843055609104,0.0031839671684387055,0.05142226936349473,0.008910331903657014,0.00047529421760782664,0.022705823988475038,0.0056793746411999595,0.03222094419925217,0.004354726086536614,0.0006752991212308681,0.0015777085643481907,0.003651406898914536,0.03126754977274506,0.00042233883682223165,0.000490419495820624,0.0001924568621020587,0.00011035848773676329,0.022295795001493847,0.00661282274048517,0.005395983877448661,0.001405860196039379,0.012394816462242261,0.0012323325810508923,0.0007049051037596828,0.07449349337282511,0.015076948693462005
2014,177958.86643576305,22375.906261329874,53453.66766982817,42586.62430777134,59655.24883135747,1147.9992461412537,1854.0806080783946,72.8450558744037,101.3972459312386,601.295529823982,9286.823069309241,1542.1988379168697,92.90059343177163,4264.526953936359,1035.3143501726393,6118.460346827284,721.5660110007386,112.81483662988826,296.5012130784312,689.4849443909745,5593.834550365351,65.30782646822702,69.46510895694544,21.082851892300802,22.827942913508792,3935.676604267997,1085.8323330015594,1009.8197268490994,237.38183904174025,2217.387978748275,239.34329748777316,150.45540523509172,12906.609186615924,2772.2231440485025,0.12573639464829248,0.3003709157089011,0.23930599896883264,0.33521931233974755,0.006450924694756029,0.010418590796922462,0.00040933647945379687,0.0005697791178493457,0.003378845583066403,0.052185222660212104,0.00866604102849548,0.0005220340817652123,0.023963554271546818,0.005817717155140184,0.034381317825688866,0.004054678620136068,0.0006339377120645488,0.0016661221720327029,0.0038744062501648636,0.0314333006407665,0.00036698270660091484,0.0003903436246151856,0.00011847036517234154,0.00012827651339164314,0.022115653370317682,0.006101591647267022,0.005674455828328223,0.0013339140881043251,0.01246011521178505,0.0013449360646167509,0.0008454504585721268,0.07252580017570948,0.01557788718017699
