pub_year,p,p_china,p_us,p_eu27,p_europe,p_austria,p_belgium,p_bulgaria,p_cyprus,p_czechia,p_germany,p_denmark,p_estonia,p_spain,p_finland,p_france,p_greece,p_croatia,p_hungary,p_ireland,p_italy,p_lithuania,p_luxembourg,p_latvia,p_malta,p_netherlands,p_poland,p_portugal,p_romania,p_sweden,p_slovenia,p_slovakia,p_uk,p_switzerland,pp_china,pp_us,pp_eu27,pp_europe,pp_austria,pp_belgium,pp_bulgaria,pp_cyprus,pp_czechia,pp_germany,pp_denmark,pp_estonia,pp_spain,pp_finland,pp_france,pp_greece,pp_croatia,pp_hungary,pp_ireland,pp_italy,pp_lithuania,pp_luxembourg,pp_latvia,pp_malta,pp_netherlands,pp_poland,pp_portugal,pp_romania,pp_sweden,pp_slovenia,pp_slovakia,pp_uk,pp_switzerland
2024,2507788,754901,499435,575303,722964,21341,27451,4103,4372,17241,125033,27259,2553,77348,17357,80622,18654,5590,10487,14220,101070,3789,1868,1926,888,50317,38411,24468,12466,35478,5418,5355,161666,38390,0.3010226542275503,0.19915359671551183,0.22940655270700713,0.288287526696834,0.008509889990700969,0.01094630008597218,0.0016361032112762323,0.0017433690567145229,0.006874983052793936,0.049857882723739005,0.010869738590343363,0.0010180286371894276,0.03084311752030076,0.006921238956403013,0.03214865052388798,0.007438427809687263,0.0022290560446098315,0.004181772940934401,0.005670335770009267,0.040302449808357,0.0015108932652999375,0.0007448795512220331,0.0007680075030265716,0.00035409691728327915,0.020064295706016616,0.015316685461450489,0.00975680559919738,0.004970914606816844,0.014147128864162362,0.0021604697047756826,0.002135347964022477,0.06446557683504348,0.015308311547866087
2023,2790783,807082,552221,650078,817073,23714,30620,4691,5014,19831,141108,27856,3089,86917,19241,88674,21214,6555,11421,15390,114385,4262,2124,2337,1086,55139,44007,28824,13463,38718,5815,6577,179366,41688,0.2891955411796618,0.19787314169535933,0.2329374946027692,0.2927755400545295,0.00849725686303808,0.010971831202927638,0.001680890273446556,0.00179662840141996,0.007105891070713846,0.05056215406213955,0.009981428151167612,0.001106857824488683,0.031144306096174443,0.00689448086791413,0.03177387851366444,0.007601450918971486,0.002348803185342608,0.004092399874873825,0.0055145813916739495,0.04098670516482292,0.0015271699734447286,0.0007610767300789778,0.0008373993965134516,0.00038913810210252823,0.01975753757995516,0.015768692872215433,0.010328284212710197,0.004824094169987419,0.013873525816948147,0.0020836446258988965,0.002356686277650394,0.06427085158537944,0.01493774327849926
2022,2807214,786332,566285,662998,833985,23904,30654,4388,4901,19908,145119,27483,3091,86954,20088,91435,20739,6680,11084,15255,114952,4219,2189,2162,1030,56811,44486,28953,13837,39254,5904,6252,182573,42633,0.28011117071943925,0.20172491302764947,0.2361765080966396,0.2970863639181053,0.0085152040421571,0.01091972325586863,0.0015631156014468438,0.00174585906168892,0.007091728667639873,0.05169502574438571,0.009790133563027258,0.0011010916873455318,0.030975194623566283,0.0071558491800055146,0.032571439156402045,0.007387751699727915,0.00237958345890267,0.003948398661448682,0.005434213422988059,0.040948784096973015,0.001502913564836881,0.0007797766753799318,0.0007701585985250857,0.0003669118207589446,0.020237502377802332,0.015847028406099428,0.010313784414013325,0.004929086275574288,0.01398325884667147,0.0021031528055930186,0.0022271191294999243,0.06503707946740077,0.015186943353802025
2021,2787527,658927,608442,701232,883752,25249,32886,4371,4711,21504,155501,29412,3349,93156,20598,97204,21526,6341,11076,16400,120121,4193,2123,2146,1055,59916,48311,29370,12751,42083,6372,7320,198593,45130,0.23638407807350387,0.21827304273644704,0.25156061268644214,0.31703800537178656,0.009057849484507234,0.011797553889164123,0.0015680565605283824,0.001690028473266806,0.00771436473978548,0.05578457177275772,0.010551287933713288,0.0012014233404734735,0.03341886912664882,0.007389345466429563,0.0348710523700757,0.007722257040021495,0.002274776172571602,0.003973414427914062,0.005883351085029849,0.04309231802956527,0.0015042006768006193,0.0007616069727755104,0.0007698580139313449,0.0003784716704089324,0.021494320951868807,0.01733113257737055,0.010536220815080894,0.004574305468610707,0.015096894128738485,0.002285897141085988,0.0026259835330742984,0.07124343548959347,0.01618997771142665
2020,2604915,582233,607488,664898,842462,23810,31481,3874,4080,20513,146368,27817,2979,89475,19368,97105,18993,5801,10007,15055,116320,3854,1849,1901,887,57388,44624,26479,11065,40317,5888,6730,192781,43001,0.22351324323442415,0.2332083772407161,0.25524748408297393,0.32341247219199093,0.009140413410802272,0.012085231187965825,0.0014871886414719866,0.0015662699166767438,0.007874729117840698,0.05618916548140726,0.010678659380440436,0.001143607372985299,0.034348529606532265,0.007435175427989013,0.03727760790659196,0.007291216795941518,0.00222694406535338,0.003841584082398082,0.005779459214600093,0.0446540482127056,0.001479510847762787,0.0007098120284155145,0.0007297742920594338,0.00034051015100300776,0.02203066126917769,0.017130693323966426,0.010165014981294976,0.004247739369614747,0.015477280448690265,0.0022603424679883987,0.002583577583145707,0.0740066374526616,0.01650764036446487
2019,2303495,510975,548169,589627,748509,20824,27838,3766,3319,18579,133176,24968,2739,76220,17828,87998,16359,4888,8913,12658,96191,3197,1657,1501,763,52161,39097,23278,9298,36265,4812,5862,171101,38085,0.22182596445835567,0.23797273273872963,0.2559706011951404,0.32494492065318137,0.009040175906611474,0.012085114141771526,0.0016349069566029013,0.0014408540066290572,0.008065569927436352,0.057814755404287835,0.010839181330977493,0.0011890627068867092,0.03308884976958926,0.00773954360656307,0.03820194964608128,0.007101817021525986,0.0021219928847251678,0.003869337680350945,0.005495128055411451,0.04175871881640724,0.001387891009097046,0.000719341695988053,0.0006516185188159731,0.00033123579604036474,0.022644286182518302,0.01697290421728721,0.010105513578279962,0.004036475008628193,0.015743468077855607,0.002088999542000308,0.0025448286191200762,0.07427886754692327,0.01653357181152987
2018,2155169,436996,534002,562217,715579,20057,27181,3349,2872,17579,129411,23840,2343,71209,16740,86603,15622,4646,8543,11787,89224,2823,1568,1380,763,50000,37011,20903,7786,35176,4771,5381,165159,36861,0.20276646518208086,0.24777732047927564,0.26086910121665635,0.3320291819342242,0.009306462741436983,0.0126120039774143,0.001553938461438523,0.0013326101108544156,0.00815666892016357,0.060046799114129794,0.011061777521855595,0.0010871537220514956,0.03304102833698889,0.007767372303517729,0.040183855651227354,0.007248619481813259,0.002155747414703905,0.0039639582789099135,0.005469176663175835,0.0414000015776025,0.0013098740748405345,0.0007275531524441935,0.0006403210142684866,0.00035403256078757626,0.023200036748858212,0.017173131202239823,0.009699007363227664,0.0036127097225322003,0.01632168985355673,0.0022137475065760505,0.0024967879549121206,0.07663389738809347,0.017103531091993248
2017,2034614,375402,523504,548784,697793,18706,26523,3097,2695,17169,125573,23086,2323,68743,16415,86679,14894,4276,8074,11202,86088,2714,1510,1307,640,48437,35698,19686,7945,33955,4177,5368,159760,36338,0.18450772480676925,0.2572989274624081,0.26972388865897906,0.34296087611704235,0.009193881493000638,0.013035887888316899,0.0015221560453235847,0.0013245755705996321,0.008438455648098362,0.0617183406778878,0.011346623978798927,0.0011417399074222432,0.033786752671514104,0.008067869384561397,0.04260218400148628,0.00732030743915062,0.002101627139103535,0.00396832028089849,0.005505712631486857,0.04231171121401897,0.001333913951245789,0.0007421555145103691,0.0006423822897119552,0.00031455597966002395,0.023806481229363408,0.017545342752974275,0.00967554533685505,0.0039049175912482664,0.01668866920211893,0.0020529692609998753,0.002638338279398451,0.07852103642263349,0.0178598987326343
2016,1941735,331078,511358,534763,679583,18596,25747,3059,2249,16950,123212,22423,2254,66650,15903,85355,14478,4008,7883,10697,82763,2546,1303,1237,601,47011,34721,18966,7064,32930,4534,4976,154863,34349,0.17050627402812432,0.2633510751982119,0.2754047282456154,0.34998751116913485,0.009577002011088022,0.0132597908571458,0.0015753952006839244,0.001158242499620185,0.008729306522259731,0.06345459086847588,0.011547919772780529,0.001160817516293418,0.03432497225419535,0.00819009803088475,0.043958109628759845,0.007456218279013356,0.00206413336526354,0.004059771287019083,0.005508990670714593,0.042623220985355884,0.001311198490010223,0.0006710493450445092,0.000637059124957834,0.0003095170041226017,0.024210821765070927,0.017881430782264316,0.009767553244907261,0.0036379835559435247,0.016959059809912268,0.0023350251192876476,0.002562656593201441,0.07975496141337515,0.017689849541775785
2015,1883999,312949,504807,524810,665876,17764,25174,2899,1858,17079,119859,21142,2243,64900,15875,83980,13594,3555,7745,10055,79738,2611,1409,1417,489,45285,33025,18130,9019,31653,4286,5201,149027,33832,0.16610889920854524,0.26794440973694783,0.27856171898180415,0.35343755490316076,0.009428879739320457,0.013362002846073697,0.0015387481628174962,0.0009862000988323243,0.009065291435929638,0.0636194605198835,0.011221874321589343,0.0011905526489132956,0.03444800129936375,0.00842622527931278,0.04457539520987007,0.007215502768313571,0.0018869436767216968,0.004110936364615905,0.005337051665101733,0.04232380165806882,0.0013858818396400422,0.0007478772547119186,0.0007521235414668479,0.00025955427789505197,0.02403663696212153,0.017529202510192417,0.00962314735835847,0.0047871575303383915,0.016800964331722044,0.0022749481289533594,0.002760617176548395,0.07910142202835564,0.017957546686595906
