pub_year,p_top_10,p_top_10_china,p_top_10_us,p_top_10_eu27,p_top_10_europe,p_top_10_austria,p_top_10_belgium,p_top_10_bulgaria,p_top_10_cyprus,p_top_10_czechia,p_top_10_germany,p_top_10_denmark,p_top_10_estonia,p_top_10_spain,p_top_10_finland,p_top_10_france,p_top_10_greece,p_top_10_croatia,p_top_10_hungary,p_top_10_ireland,p_top_10_italy,p_top_10_lithuania,p_top_10_luxembourg,p_top_10_latvia,p_top_10_malta,p_top_10_netherlands,p_top_10_poland,p_top_10_portugal,p_top_10_romania,p_top_10_sweden,p_top_10_slovenia,p_top_10_slovakia,p_top_10_uk,p_top_10_switzerland,pp_top_10_china,pp_top_10_us,pp_top_10_eu27,pp_top_10_europe,pp_top_10_austria,pp_top_10_belgium,pp_top_10_bulgaria,pp_top_10_cyprus,pp_top_10_czechia,pp_top_10_germany,pp_top_10_denmark,pp_top_10_estonia,pp_top_10_spain,pp_top_10_finland,pp_top_10_france,pp_top_10_greece,pp_top_10_croatia,pp_top_10_hungary,pp_top_10_ireland,pp_top_10_italy,pp_top_10_lithuania,pp_top_10_luxembourg,pp_top_10_latvia,pp_top_10_malta,pp_top_10_netherlands,pp_top_10_poland,pp_top_10_portugal,pp_top_10_romania,pp_top_10_sweden,pp_top_10_slovenia,pp_top_10_slovakia,pp_top_10_uk,pp_top_10_switzerland
2023,282374.528061064,100171.31188083542,68002.86912496541,76393.102818836,97001.45745307211,3436.8571400589435,4554.843408870329,368.4534330485693,764.5003977180608,2299.7856229938434,18982.286049112743,4380.384025463251,445.99927355564074,10830.36434765973,2743.1377859737377,11507.61390986395,2774.0704181086107,650.0420272485954,1329.014057098887,2310.8999444548967,15556.857202646053,465.3214114917169,319.29101288169574,217.58728456699367,146.2166968819113,8834.583776972897,4826.384668977512,3275.9083219886365,1630.3417105293554,5790.896902894378,714.1258548063803,598.1425209928836,27326.66094867024,7229.151427660438,0.3547462746327218,0.2408250828851661,0.27053822220932,0.34352056511306633,0.012171271834107206,0.016130503838807073,0.0013048394824369234,0.0027073985850194536,0.008144451409216736,0.06722379025989125,0.015512674091184262,0.0015794600051857106,0.038354608052032384,0.009714536947824589,0.04075301688463701,0.009824081644888,0.0023020561794724723,0.004706564951961549,0.008183811621829998,0.05509299053801996,0.0016478873455295878,0.001130735888517,0.0007705627205862564,0.0005178112129515154,0.031286758893006104,0.017092138947935834,0.011601288347368979,0.005773685472709461,0.020507858632497072,0.002529002384563346,0.002118259480060235,0.09677452543722641,0.025601287330339936
2022,283955.06195997563,97217.63599932448,72833.67368368298,78033.03503089696,100074.11288457927,3431.8597900156587,4679.306893839432,346.0851232325751,661.9299786920616,2311.8940777466996,19665.238603917223,4449.222055492077,411.1807398392565,10756.890488709867,3037.999451566249,12054.273231809952,2572.7738245693176,730.6318419150456,1263.554264026747,2319.7985448723744,15513.857937950917,433.445288285803,345.98393132474473,207.45790559306414,119.84146922137342,9604.515344004403,4759.531831197679,3326.212991695687,1634.1358951830189,6096.687279076419,723.4907263255639,619.6184813418537,28938.98290068054,7490.716163270188,0.34236979375640647,0.2564971836774268,0.2748076913729961,0.35242940271543755,0.012085925731795514,0.016479040245103976,0.001218802443047685,0.0023311082187552714,0.00814176039613116,0.06925475625678087,0.01566875414997606,0.0014480486348829862,0.03788236918356499,0.010698874077456892,0.042451341239019856,0.009060496427888854,0.0025730544716192822,0.0044498388417701425,0.008169597431580062,0.05463490536448914,0.0015264573390380287,0.0012184460771243876,0.0007306011879524303,0.0004220437853587743,0.03382406806805997,0.016761567123844936,0.01171387109191428,0.0057549102449645905,0.02147060607757634,0.0025479057190660056,0.0021821004952860845,0.10191395321827221,0.02637993530231917
2021,282015.59522803634,82931.61819202459,80078.01981781141,82944.9398649536,106422.01201355216,3818.6239028280643,5141.135422444586,390.746809427716,634.6725958815416,2347.800297390265,21297.87179053741,4729.7281309907685,459.89299816767084,11539.938768611673,3047.7968445965003,13003.700793997086,2685.1515771432105,699.1151153827768,1249.3762012623642,2639.601582346711,16577.04734784044,471.87162197491784,320.57794651715096,198.44466885377577,127.36241149532923,10521.386693145607,4864.713629741476,3384.6229419260208,1361.6470530172137,6493.202725646614,802.1207871154463,615.6635808750791,31400.49690270783,8021.996004951047,0.2940674898668867,0.2839489062761254,0.2941147272294809,0.37736215235721227,0.01354047069538954,0.01822996851747681,0.0013855503597656016,0.002250487585157653,0.008325072574415063,0.07552019161676525,0.016771158088496257,0.0016307360513017153,0.040919505743221535,0.01080719256724816,0.04610986418493049,0.009521287554938269,0.0024789945209146183,0.004430167063109135,0.009359771682882795,0.05878060514503222,0.0016732110917247853,0.0011367383646210534,0.0007036655852074934,0.0004516147817724216,0.037307818685126504,0.017249803599718994,0.01200154530173848,0.00482826863498876,0.023024268286994002,0.0028442426613565666,0.0021830834581231463,0.11134312227420455,0.028445221259712616
2020,263327.6599671052,73307.87801556526,81770.28495652464,77824.03692710993,100689.62309292382,3652.1421810426777,4954.177663349815,340.91593176757897,521.7835107866902,2171.4511059444735,20171.891276506212,4635.276393097191,441.1409836599174,10821.43394326307,2898.3471094332235,13120.226815595834,2259.820748498796,625.0533874539258,1098.928092148041,2336.2191416099936,15722.320211461252,394.4577082218606,285.5132617849985,186.5347750484808,109.70882542895706,10258.55899783804,4165.050828509986,3017.150801716726,1147.119553905039,6226.956476008534,756.9116802546698,576.2704819802264,30668.742031790724,7656.702974825153,0.27839034465548684,0.3105267595767925,0.295540684699935,0.38237389534203103,0.013869193162233326,0.018813738230038915,0.0012946453548030848,0.0019814990603412917,0.008246194517566937,0.07660376915598642,0.017602694656824992,0.001675255017703133,0.04109493831606934,0.011006618559536375,0.04982471958029327,0.0085817826687143,0.0023736715980843307,0.004173234563681304,0.008871909399498076,0.05970629979936509,0.0014979729371048076,0.001084250935965727,0.0007083751667856794,0.0004166247687108215,0.03895739247111198,0.01581698948386312,0.011457781541421162,0.00435624405749224,0.023647179627033495,0.0028744100803889078,0.0021884160670862067,0.11646608653121306,0.029076713687356755
2019,232921.8822710134,62407.425852822314,75540.73282428391,68784.60089619209,89523.34794294846,3008.9823981245363,4519.805019801692,278.0484207167101,423.0804403637297,1827.9696539606778,18504.153682830038,4098.936192470597,389.7581337969304,9346.416786442893,2645.3588525912187,11999.171601532804,1990.9364145518443,473.18090760482187,989.1603675308315,1903.3391280608903,12571.778787224543,317.9716775293418,272.0583232054114,126.1329082990202,103.48255541871919,9654.362751819655,3175.578800745952,2651.056565737229,906.8885030439204,5662.702187576809,551.8440475286732,461.5491797238299,27506.860510997536,7036.125147793274,0.2679328590527571,0.3243178875584966,0.2953118883701902,0.3843492379079466,0.012918418693798258,0.019404810641804483,0.0011937410860916463,0.001816404866037703,0.007847994512742972,0.07944360359109479,0.017597900860604115,0.0016733427104261166,0.040126830056988735,0.011357279216528243,0.051515862247632514,0.00854765724516735,0.0020315004455195755,0.004246747269455371,0.008171577137807445,0.05397422803151146,0.0013651430017183603,0.0011680238908977271,0.0005415245105750082,0.00044428009257761937,0.04144892982011213,0.013633664513542983,0.011381741122341716,0.0038935307159707797,0.024311593794300704,0.002369223716329846,0.001981562123848888,0.11809478887428991,0.03020808985051253
2018,217821.34871957186,52330.831384122066,75428.63078469552,65427.68873387888,85734.232158278,3038.666320974852,4333.114662128278,280.10666754298336,372.73017125547295,1715.552637649838,17879.058706457276,3860.7670291826025,373.0412175610337,8871.16361142179,2401.3389217420267,11697.648824964015,1824.4970575276695,472.8769064534248,947.8373919008559,1798.9938731003003,11582.413485425082,290.74046019340125,243.26093395828303,106.8626890756303,75.83482142857144,9052.225697760265,2842.8250915526005,2398.4541597689818,709.2412118447078,5417.777126312644,610.6420899763285,438.8209928029482,26447.132619211607,6737.9809232493735,0.2402465676194759,0.3462866758841166,0.30037316873890063,0.39359884906715087,0.013950268597808105,0.019892975080724653,0.0012859468054419176,0.0017111737368559507,0.00787596187304156,0.0820812964916271,0.017724465723298048,0.0017126017250094958,0.04072678671567096,0.01102435062429792,0.053702949200006254,0.008376116795955424,0.0021709392088202395,0.004351443958420821,0.008259033761729049,0.05317391317935757,0.0013347656779396178,0.0011167910555519636,0.0004905978670309665,0.0003481514639145996,0.041558027948005706,0.013051177528115106,0.01101110691797619,0.003256068406581216,0.024872571757360722,0.002803407900859539,0.0020145912941155106,0.12141662318536207,0.03093351943166968
2017,205531.09837664274,43063.75261247099,74807.39036359968,63402.02081789225,83567.41902138844,2786.482511680063,4269.615038232287,256.50079117997177,299.6240474538274,1613.576203288088,17568.137830724027,3704.9550292464296,305.47935881052575,8409.463558262118,2254.5585462133513,11695.719416743403,1771.684905920212,404.9064752115216,871.2895547841342,1602.1327450850133,11063.716287523042,229.2410833902937,235.92891451685546,96.94449248120301,63.80127696078432,8737.883332914258,2640.224548298377,2244.267113304181,669.7159951766506,5200.197350346072,497.6731132305801,378.77169278187074,26055.099443995026,6725.387914149867,0.20952426641322763,0.36397115061640256,0.30847896653432894,0.40659257738334226,0.01355747394768328,0.020773571843653905,0.0012479901737785944,0.0014578039519097794,0.007850764268924183,0.08547678657625726,0.018026250326639005,0.0014862926400107316,0.04091577199111489,0.010969427809322538,0.05690486505020568,0.008620033269483818,0.0019700496830388006,0.00423921032712756,0.007795086766621811,0.05382988936909394,0.001115359598624835,0.0011478988648448115,0.00047167797597008377,0.00031042152484324446,0.04251367993422479,0.012845864052456314,0.01091935542129729,0.0032584655094353323,0.02530126774692039,0.002421400543087534,0.0018428923689579994,0.1267696209954961,0.03272199665777762
2016,196065.07454530732,36442.922694020686,73560.7449553828,61853.858940169084,81327.92484338746,2832.44352731279,4012.1299437667203,226.50920811517486,249.60625999000993,1538.823779919141,17243.558350792013,3695.42107271052,317.6307637981472,7994.6105768061525,2351.800445335118,11715.528531470125,1631.3282560650275,343.5419715922004,817.9732727636879,1558.0421009730799,10641.643044971042,222.27514912264905,207.24162492665053,78.56333333333332,60.17598039215677,8450.724516616054,2469.2797334945794,2089.6114899462013,571.8915673994138,4973.935538637978,522.0382336301711,361.16939856527716,25195.772145391278,6259.131062002662,0.18587156727701315,0.37518535683102583,0.3154761707744931,0.4148006728480036,0.014446446078586323,0.020463256666549173,0.00115527565855607,0.0012730786478360283,0.00784853591843327,0.08794813860031618,0.018847931388497094,0.0016200272513335777,0.0407752915471885,0.011994999368394176,0.059753265892150846,0.008320340886046256,0.0017521834135370892,0.0041719478834292235,0.007946556032920809,0.05427607680587671,0.0011336804866349873,0.0010570042900667682,0.0004007002956315846,0.00030691840722632687,0.04310163111004879,0.012594184554393805,0.01065774460235817,0.002916845688737182,0.02536879936507298,0.002662576365733801,0.0018420894154803538,0.1285071918281344,0.03192374305581019
2015,190442.9372649646,32189.63377688351,73840.6447364057,61214.68023991122,80140.25812366573,2665.1304688446676,4203.190412063344,262.59569548808685,215.73482153467447,1487.112304762496,17127.08635558457,3563.7806136404674,296.9437070598481,7848.488461440064,2285.3247950478944,11631.535096477164,1698.173661915441,358.52450030347603,810.30080178347,1486.4119230565443,10218.36683775649,212.64666226253988,223.41942118339173,105.98159273898399,56.95483316133465,8245.489834246147,2342.684645158105,1981.6664119797097,598.0961028280317,4846.126611456468,535.5014438971194,396.5101617301724,24313.3950851207,6302.106192885035,0.16902508561973,0.387731074708592,0.3214331868592365,0.4208098198578298,0.013994378090990337,0.022070602735009364,0.0013788681232254657,0.0011328055775285649,0.007808702838338742,0.08993290379551086,0.018713115145258207,0.0015592266708568366,0.0412117591450525,0.012000050135061223,0.06107622190417137,0.008916968443690616,0.001882582286601988,0.004254822013462714,0.007805025192341415,0.0536557930921828,0.0011165899104290914,0.0011731567701696742,0.000556500515382889,0.0002990650846877718,0.04329638028410652,0.012301241930010308,0.010405565259805898,0.0031405528155444085,0.02544660716251198,0.0028118734755286437,0.002082041830611471,0.12766761232680057,0.03309183466392807
2014,186806.30274246502,29095.680798290046,73419.19373330996,60349.59608876659,78831.93221045828,2546.975762907014,3955.9474897040204,275.7099293882444,244.62770315528562,1433.7530187321338,16624.06897733465,3313.6137093877464,282.44678430925774,7842.504140677173,2149.1346393098565,11818.749735582573,1543.559272962008,356.77110677162995,835.3242291225964,1429.605461456396,9832.472981505218,195.98989858566247,175.73392395366432,70.90133010780069,49.43450078693687,7733.713659517767,2124.0191245264277,1897.8945195464853,571.0784073997224,4645.454396118359,524.2921605003678,376.643032614339,22967.665282412305,6005.166392580981,0.15575320731229259,0.39302310818991565,0.3230597426467231,0.4219982465963024,0.01363431386155277,0.02117673457280384,0.0014759134212315296,0.0013095259611905833,0.007675078397695901,0.08899094266777995,0.0177382329222369,0.0015119767382722874,0.04198201037943034,0.0115046152499078,0.06326740351944196,0.008262886478139822,0.0019098451258546768,0.004471606240578464,0.0076528759494120455,0.052634589075190176,0.001049161059923434,0.0009407280234860956,0.00037954463563013023,0.00026462972641286243,0.04139963987285602,0.011370168422286286,0.010159692107192772,0.003057061774767968,0.02486776049800995,0.002806608518038964,0.0020162222959553286,0.12294909189480613,0.03214648705327585
